iata_code,name,lat,lon,reisezeit_stunden,anzahl_umstiege
RHD,Termas de Río Hondo international Airport,-27.4966,-64.93595,21.11,2
HUS,Hughes Airport,66.04109955,-154.2630005,21.11,3
BBN,Bario Airport,3.7338900566101074,115.47899627685548,21.11,2
CHU,Chuathbaluk Airport,61.579102,-159.216003,21.12,3
AKK,Akhiok Airport,56.9387016296,-154.182998657,21.14,3
KLG,Kalskag Airport,61.53630065917969,-160.34100341796875,21.15,3
JUJ,Gobernador Horacio Guzman International Airport,-24.392799,-65.097801,21.15,2
HCR,Holy Cross Airport,62.18830108642578,-159.77499389648438,21.18,3
TUC,Teniente Benjamin Matienzo Airport,-26.8409,-65.104897,21.19,2
PIP,Pilot Point Airport,57.5803985596,-157.572006226,21.2,3
PMY,El Tehuelche Airport,-42.7592,-65.1027,21.2,2
RBQ,Rurenabaque Airport,-14.4279003143,-67.4968032837,21.21,2
RSH,Russian Mission Airport,61.7788848877,-161.319458008,21.22,3
NUL,Nulato Airport,64.729301,-158.074005,21.23,3
SHX,Shageluk Airport,62.6922988892,-159.569000244,21.25,3
BKS,Fatmawati Soekarno Airport,-3.8637,102.338997,21.25,2
YSY,Sachs Harbour (David Nasogaluak Jr. Saaryuaq) Airport,71.9938964844,-125.242996216,21.27,4
ZFM,Fort Mcpherson Airport,67.40750122070312,-134.86099243164062,21.27,4
WNA,Napakiak Airport,60.69029998779297,-161.97900390625,21.27,3
ARI,Chacalluta Airport,-18.348499,-70.338699,21.28,2
KWT,Kwethluk Airport,60.790298461899994,-161.444000244,21.28,3
YUB,Tuktoyaktuk Airport,69.43329620361328,-133.0260009765625,21.28,4
KAL,Kaltag Airport,64.31909943,-158.7409973,21.29,3
ORX,Oriximiná Airport,-1.714079976081848,-55.83620071411133,21.29,4
HSL,Huslia Airport,65.69789886,-156.3509979,21.3,3
KUK,Kasigluk Airport,60.87440109,-162.5240021,21.3,3
LSC,La Florida Airport,-29.916201,-71.199501,21.31,2
BYC,Yacuiba Airport,-21.960899353027344,-63.65169906616211,21.31,3
SKK,Shaktoolik Airport,64.37110138,-161.223999,21.32,3
DJB,Sultan Thaha Airport,-1.6380200386047363,103.6439971923828,21.33,2
EEK,Eek Airport,60.21367264,-162.0438843,21.34,3
DRW,Darwin International Airport,-12.41469955444336,130.8769989013672,21.34,1
SMK,St Michael Airport,63.49010086,-162.1100006,21.34,3
GEL,Santo Ângelo Airport,-28.2817,-54.169102,21.34,3
CCP,Carriel Sur Airport,-36.772701,-73.063103,21.36,2
MOU,Mountain Village Airport,62.095401763916016,-163.6820068359375,21.37,3
CIJ,Capitán Aníbal Arab Airport,-11.040399551400002,-68.7829971313,21.39,2
KKH,Kongiganak Airport,59.960800170899994,-162.880996704,21.39,3
TMT,Trombetas Airport,-1.489599943161,-56.396800994873,21.39,4
KWN,Quinhagak Airport,59.7551,-161.845,21.4,3
